,高等教育深耕計畫核定經費 (一般大學),,單位：元,
類別,學校代碼,學校名稱,核定經費,
技專校院,,中國科技大學,A,萬芳商圈在地產業之活化與升級— 導入商業4.0經營模式
技專校院,,台北海洋科技大學,A,淵遠流長--水域文化傳承計畫
技專校院,,中華科技大學,A,庇護之翼、永續家園：以無人機技術應用於在地環境之監測
技專校院,,,B,點亮基北傳產廊道：由加值共榮邁向永續計畫
技專校院,,中華醫事科技大學,A,中華醫大「南關線健康幸福扎根」社會責任實踐計畫
技專校院,,,B,中華醫大「城鄉創生電力公司」社會責任實踐計畫
技專校院,,仁德醫護管理專科學校,A,食在苗栗，實在安心
技專校院,,,A,融合長照2.0之慢城銀髮優活與地方深耕計畫
技專校院,,元培醫事科技大學,A,整合型社區健康照護模式之建置
技專校院,,文藻外語大學,A,「溫暖白色巨塔的小螺絲釘-文藻國際志工共創就醫無障礙」USR社會實踐計畫
技專校院,,臺北城市科技大學,A,大稻埕樂活與文創產業實踐與推廣計畫
技專校院,,台南應用科技大學,A,歷史的角落--鯤喜灣關懷再出發
技專校院,,,A,「消失的針線-刺繡技藝傳承與記憶延伸」
技專校院,,,B,臺南農安樂活好食在
技專校院,,弘光科技大學,C,「長照弘情-自立樂活攜手「弘」轉人生」計畫
技專校院,,,A,臺灣化妝品安全管控與產業升級之平台建置
技專校院,,,A,中部沿海區敏感族群環境品質關懷計畫
技專校院,,正修科技大學,A,市外桃源-偏鄉農特產開發暨行銷
技專校院,,吳鳳科技大學,A,竹藝美?話南北-古崙尾崛起
技專校院,,,A,安全、樂活，新旺萊！
技專校院,,亞東技術學院,A,協助新北地區國小資訊能力提升計劃
技專校院,,明志科技大學,A,新北產業鏈結輔導延續計畫
技專校院,,,A,遠渡重洋開新枝－關懷台灣新住民及其子女
技專校院,,,A,搶救歷史記憶．深耕在地文化-北臺首學文藝復興計畫
技專校院,,明新科技大學,A,小農創客在地實踐計畫
技專校院,,,A,在地實踐‧社區連結—明新科技大學以社區為基礎之區域認同發展計畫
技專校院,,東南科技大學,A,深坑及石碇老街商圈觀光、餐飲、休閒特色產業升級推動計畫
技專校院,,長庚科技大學,A,楓香茶米新視界-食農賦能教育
技專校院,,,A,多元在嘉與文化融滲：新住民社區深耕計畫
技專校院,,南臺科技大學,C,青銀共創、攜手在地共築智慧高齡友善社區
技專校院,,,B,文化底?的在地創生與傳播--府城vs月津
技專校院,,南開科技大學,B,南投百香果資源永續之煉銀網平台
技專校院,,,B,打造南投不老城鎮
技專校院,,,A,「台灣藝術大道」草鞋墩樂活美學實踐計畫
技專校院,,,A,南開科大USR之產業鏈結- 南投好咖分享，國姓咖啡產業加值旅宿商品
技專校院,,建國科技大學,A,再造彰化市親水環境，活化大埔區生態計畫
技專校院,,美和科技大學,A,大武山下的檳榔減種轉作之可可無限可能
技專校院,,致理科技大學,A,在地產學鏈結共創綠色體驗新價值
技專校院,,修平科技大學,C,具BLS (Based Location Services，基於位置的服務) 功能的農業創生系統
技專校院,,耕莘健康管理專科學校,A,莘新社區口腔健康促進與照顧服務培力計畫
技專校院,,,A,宜蘭三星蔥循環經濟綠色創新計畫
技專校院,,馬偕醫護管理專科學校,A,提升在地食材從農場到餐桌的價值
技專校院,,,A,從臨終關懷到後續支持：淡水馬偕安寧療護教育示範中心生命關懷實踐計畫
技專校院,,高苑科技大學,A,高苑科大路竹情--社區關懷暨農特產品網路行銷
技專校院,,崑山科技大學,A,鹽水溪幸福岸－環境關懷與展演規劃
技專校院,,,A,官田烏金社區合作社-建構農村永續發展的社會實踐
技專校院,,,B,永康工業區的綠色需求和永續發展
技專校院,,健行科技大學,A,珍愛藻礁永續家園
技專校院,,,A,桃園市文化資產數位典藏與應用
技專校院,,景文科技大學,A,新烏坪地區在地餐旅服務升級產業鏈結計畫
技專校院,,,A,走讀新店溪社區˙守護新店溪流域
技專校院,,朝陽科技大學,B,新農復穀，助農STRONG-同耕共讀
技專校院,,華夏科技大學,A,華夏南勢在地紮根
技專校院,,,A,產銷履歷溯源整合
技專校院,,慈濟科技大學,A,農情覓藝加值東台灣
技專校院,,,A,社區關懷與高齡健康促進
技專校院,,萬能科技大學,A,實踐在地社區環境教育推廣與永續發展-以大溪區月眉里為示範場域
技專校院,,,A,桃園食品安全校園播種計畫
技專校院,,經國管理暨健康學院,A,安全食、營養吃，長照即食調理關懷情
技專校院,,,A,基隆社區觀光文化產業建置計畫
技專校院,,聖約翰科技大學,A,淡海新市鎮『農業x藝術』共學基地與文化創意整合行銷傳播計畫
技專校院,,僑光科技大學,A,國際友善商圈—繼光商圈發展新意象
技專校院,,嘉南藥理大學,A,樂活官田菱香之采菱巡鄉
技專校院,,輔英科技大學,B,分級培育社區安寧長照人力-打造在地時間銀行計畫
技專校院,,,A,大發工業區鄰近校園敏感區位健康大氣環境營造與學子環教計畫
技專校院,,遠東科技大學,B,創新能資源再利用雙平台與高價值循環經濟
技專校院,,黎明技術學院,A,泰山芭比娃娃的故鄉文化產業創新再造
技專校院,,樹人醫護管理專科學校,A,社區身心機能活化與溫馨關懷計畫
技專校院,,樹德科技大學,A,營造「食農教育」觀光新亮點：佈建農漁村青創走廊十級產業發展之新動能計畫
技專校院,,,A,城鄉數位創思與資訊能力推廣計畫
技專校院,,,B,橫山USR 綠色內涵整體實踐行動計畫
技專校院,,龍華科技大學,A,活化桃園市龜山區龍壽社區營造多元特色
技專校院,,,A,場域重現樂生院區風貌促進文化振興計畫
技專校院,,嶺東科技大學,A,人才留鄉協力隱形冠軍創新價值
技專校院,,,A,大台中地區社區觀光資源整合與行銷
技專校院,,環球科技大學,A,雲林縣大埤鄉酸菜專業區與酸菜館轉型及再造計畫
技專校院,,崇仁醫護管理專科學校,A,健康促進老有所用-健康樂活人生計畫
技專校院,,新生醫護管理專科學校,A,在地客庄深度旅遊的定式－從「浪漫台三線」的起點出發
技專校院,,,A,在地長照-南桃園「社區照顧服務中心」整合計畫
技專校院,,聖母醫護管理專科學校,A,三星地區雙溪流域（腦寮坑溪、安農溪）：人文生態‧食農教育‧幸福旅遊廊道營造計畫
,,,,
深耕計畫第二部分 全球鏈結核定學校,,,,
一、Global Taiwan 全校型學校,,,,
學校代碼,學校名稱,,,
2,國立清華大學,,,
3,國立臺灣大學,,,
5,國立成功大學,,,
7,國立交通大學,,,
二、Global Taiwan 研究中心,,,,
學校名稱,領域,計畫名稱,,
中國醫藥大學（2）,醫學,新藥開發研究中心,,
,醫學,中醫藥研究中心,,
長庚大學（3）,生命科學/農學,健康老化研究中心,,
,生命科學/農學,新興病毒感染研究中心,,
,醫學,整合體學導向之創新轉譯癌症研究及精準醫學,,
高雄醫學大學（1）,生命科學/農學,環境醫學研究中心,,
國立中山大學（2）,社會科學,智慧電子商務研究中心,,
,理學,晶體研究中心,,
國立中央大學（4）,理學,太空科學與科技研究中心,,
,理學,高能與強場物理研究中心,,
,理學,地震災害鏈風險評估及管理中心,,
,理學,新世代光驅動電池模組研究中心,,
國立中正大學（2）,工學,前瞻製造系統頂尖研究中心,,
,社會科學,高齡跨域創新研究中心,,
國立中興大學（3）,生命科學/農學,前瞻植物生技研究中心,,
,生命科學/農學,永續農業創新發展中心,,
,生命科學/農學,鳥禽遺傳資源暨動物生技研究中心,,
國立交通大學（7）,工學,毫米波智慧雷達系統與技術研究中心,,
,工學,智慧半導體奈米系統技術研究中心,,
,工學,開源智能聯網研究中心,,
,工學,神經調控醫療電子系統研究中心,,
,生命科學/農學,智慧型藥物與智能生物裝置研究中心,,
,社會科學,文化研究國際中心,,
,理學,新世代功能性物質研究中心,,
國立成功大學（7）,工學,跨維綠能材料研究中心,,
,工學,前瞻醫療器材科技中心,,
,工學,智慧製造研究中心,,
,生命科學/農學,國際傷口再生與修復中心,,
,生命科學/農學,前瞻蝦類養殖國際研發中心,,
,社會科學,Fintech商創研究中心,,
,醫學,奈米醫學研究中心,,
