,高等教育深耕計畫核定經費 (一般大學),,單位：元,,
類別,學校代碼,學校名稱,核定經費,,
技專校院,,,,大學特色類萌芽型,駐點滬尾共創綠色旅遊新價值
技專校院,,,,大學特色類萌芽型,攜手共構活躍老化與智慧樂活永續社區
技專校院,,,,大學特色類萌芽型,全通路在地關懷銀髮就醫陪伴媒合服務心價值推動計畫
技專校院,4,北北基,國立臺北科技大學,大學特色類萌芽型,木創文化攪動深根計畫
技專校院,,,,國際連結類萌芽型,原住民部落安居構築與綠色樂業推動計畫
技專校院,5,北北基,國立臺北護理健康大學,大學特色類萌芽型,鏈結區域資源升級長照專業-「北護護你健康、青銀共好標竿計畫」
技專校院,,,,大學特色類萌芽型,攜手共創萬華失智友善社區
技專校院,6,北北基,國立臺灣科技大學,大學特色類萌芽型,社區更新活化與韌性提升-以公館城南聚落為例
技專校院,,,,大學特色類萌芽型,i設計愛學習-營造老少共學的多媒體互動智慧生活環境
技專校院,,,,大學特色類萌芽型,共好2.0：走在我的身邊，成為我的夥伴
技專校院,,,,大學特色類深耕型,I-VillagesPlus城鄉牽手深化計畫
技專校院,,,,國際連結類深耕型,行動工程師培育計畫
技專校院,7,北北基,中國科技大學,大學特色類萌芽型,萬芳商圈在地產業之活化與升級-智慧城市前導實踐
技專校院,9,北北基,華夏科技大學,大學特色類萌芽型,華夏南勢在地紮根Plus
技專校院,10,桃竹苗宜花,亞東技術學院,大學特色類萌芽型,USR服務學習實踐模式應用於12年國教課程綱要之研究
技專校院,,,,大學特色類萌芽型,多元在嘉與文化融滲：新住民社區深耕計畫
技專校院,,,,大學特色類萌芽型,在地扎根‧社會共生-健康、就業、教養賦能計畫
技專校院,,,,大學特色類萌芽型,破繭而出的形象曙光
技專校院,12,桃竹苗宜花,龍華科技大學,大學特色類萌芽型,樂生生樂—場域重現樂生院區風貌及促進文化振興計畫
技專校院,,,,大學特色類萌芽型,守護火金姑‧最愛塔寮坑
技專校院,13,桃竹苗宜花,耕莘健康管理專科學校,大學特色類萌芽型,宜蘭三星鄉農棄物六級產業與農村創生
技專校院,,,,大學特色類萌芽型,「愛在莘裡口常開」~健康護牙支持網絡與服務培力計畫
技專校院,14,桃竹苗宜花,明新科技大學,大學特色類萌芽型,一三延續、小農永續在地實踐計畫
技專校院,,,,大學特色類萌芽型,在地實踐‧社區連結-明新科技大學以社區為基礎之區域認同發展計畫
技專校院,15,桃竹苗宜花,仁德醫護管理專科學校,大學特色類萌芽型,融合長照2.0之慢城銀髮優活與地方深耕計畫II
技專校院,16,桃竹苗宜花,慈濟科技大學,大學特色類萌芽型,共創失智友善及高齡健康促進支持網絡
技專校院,17,桃竹苗宜花,萬能科技大學,大學特色類萌芽型,桃園食品安全及社區健康營造計畫
技專校院,18,中彰投,中臺科技大學,大學特色類萌芽型,場域永續與人才培育-大坑后里食農與國高中小學食安食育的社會實踐
技專校院,,,,大學特色類萌芽型,文資蘊生-深耕文化資產與人才培育計畫
技專校院,19,中彰投,弘光科技大學,大學特色類萌芽型,中部沿海敏感族群之低碳宜居環境共築計畫
技專校院,20,中彰投,南開科技大學,大學特色類萌芽型,形塑青銀共好場域實現在地永續長照-打造南投不老城鎮
技專校院,,,,大學特色類深耕型,南投百香果資源永續之煉銀網平台
技專校院,21,中彰投,修平科技大學,大學特色類萌芽型,再現田頭水-田中、社頭、二水區域整合計畫
技專校院,,,,大學特色類萌芽型,文蛤智慧養殖與科學管理永續發展計畫
技專校院,,,,大學特色類深耕型,農業地方創生系統
技專校院,22,中彰投,國立勤益科技大學,大學特色類萌芽型,中部菇類產業創生與永續經營提升計畫
技專校院,,,,大學特色類萌芽型,智慧創新在地實踐─枇杷荔枝共譜太平盛世
技專校院,23,中彰投,國立臺中科技大學,大學特色類萌芽型,啟動山城濁水台3線智慧創新商業模式-產學攜手共伴與地方產業鏈結
技專校院,24,中彰投,朝陽科技大學,大學特色類萌芽型,新農復穀-雜糧壯遊-同耕共學-擴散計畫
技專校院,,,,大學特色類萌芽型,幼老共和國之幼老共園在地老化社會創新的實踐
技專校院,,,,大學特色類萌芽型,八卦山下的科技大花現
技專校院,,,,大學特色類萌芽型,智慧商務與行銷塑造南投中寮石虎與農業優化創生社會實踐模式
技專校院,25,中彰投,嶺東科技大學,大學特色類萌芽型,人才留鄉協力創新林下經濟價值
技專校院,,,,大學特色類萌芽型,STEM科教隊，在地攜手創作優質課程計畫
技專校院,,,,大學特色類萌芽型,烏日高鐵特區社區觀光資源整合與行銷
技專校院,,,,大學特色類萌芽型,中區綠時尚循環經濟深耕計畫
技專校院,27,雲嘉南,吳鳳科技大學,大學特色類萌芽型,諸羅桃城好厝邊、安全享壽呷百二
技專校院,,,,大學特色類萌芽型,幼見幸福嘉園-嘉義非營利性幼兒園的代間共融
技專校院,28,雲嘉南,中華醫事科技大學,大學特色類萌芽型,南關線智慧健康幸福扎根計畫
技專校院,,,,國際連結類萌芽型,臺南溪北淺山地區培青富老戰略計畫暨MakeMandaluyong’shealthandwell-beingstrongagain.
技專校院,29,雲嘉南,台南應用科技大學,大學特色類萌芽型,志在琉鄉-青銀共創?價值再造
技專校院,,,,大學特色類萌芽型,消失的針線-刺繡技藝傳承與記憶延伸
技專校院,,,,大學特色類深耕型,臺南農安樂活好食在
技專校院,30,雲嘉南,南臺科技大學,大學特色類萌芽型,文化底?的在地創生與傳播府城vs月津
技專校院,,,,大學特色類深耕型,青銀共創攜手在地共築智慧高齡友善社區
技專校院,31,雲嘉南,國立虎尾科技大學,大學特色類萌芽型,深耕虎尾溪流域—他里霧平原螢光計畫
技專校院,,,,大學特色類萌芽型,看見下一道彩虹-以里山概念在原民部落傳統文化與產業之鏈結發展
技專校院,,,,大學特色類深耕型,永續環境-傳續師徒精神-承續農業區域優勢
技專校院,,,,國際連結類萌芽型,在地固著、國際流動–文化永續跨域實踐
技專校院,32,雲嘉南,國立雲林科技大學,大學特色類萌芽型,雲林養雞產業之社會實踐計畫：溯源供應鏈之塑造與永續營運
技專校院,,,,大學特色類萌芽型,淺山農村的社會設計培力共構計畫
技專校院,33,雲嘉南,崑山科技大學,大學特色類萌芽型,既培力也使力－以人才培育為底蘊創生新官田
技專校院,,,,大學特色類萌芽型,南關線的飲食文化學堂–慢．食．行．旅計畫
技專校院,,,,國際連結類萌芽型,永康工業區及鄰近區域暨國際化綠色需求和永續發展
技專校院,34,雲嘉南,嘉南藥理大學,大學特色類萌芽型,濃濃香洋風，再造關廟情
技專校院,,,,大學特色類萌芽型,營造Alia(e)n宜居地
技專校院,,,,大學特色類萌芽型,永續安南環境生態與綠色產業
技專校院,35,雲嘉南,遠東科技大學,大學特色類萌芽型,臺南市偏鄉資訊應用培力及機器人跨域共享計畫
技專校院,,,,大學特色類萌芽型,創新能資源化多元剩餘資材加值平台與高價值循環經濟
技專校院,36,高屏澎東,大仁科技大學,大學特色類萌芽型,社區食品安全防護網與永續環境經營
技專校院,,,,大學特色類萌芽型,長照知識整合與實踐-營造屏東在地幸福活躍老化新願景
技專校院,,,,大學特色類萌芽型,台9線原鄉特色加值發展-獅子鄉文化資產永續
技專校院,,,,大學特色類萌芽型,書香舒活宜居城：田園趣產業的推動與實踐
技專校院,37,高屏澎東,樹德科技大學,大學特色類萌芽型,城鄉資訊能力深化培育與應用推廣計畫
技專校院,,,,大學特色類深耕型,橫山USR綠色內涵整體實踐行動計畫
技專校院,38,高屏澎東,樹人醫護管理專科學校,大學特色類萌芽型,青銀攜手銀髮樂活、跨界整合實踐計畫
技專校院,,,,大學特色類萌芽型,大發工業區鄰近敏感區域永續健康大氣環境營造與環境教育拓展計畫
技專校院,,,,大學特色類深耕型,永續健康促進人才培育-深耕在地時間銀行及失智照護~輔英憶路共老守護，營造共生共好社區~
技專校院,40,高屏澎東,國立澎湖科技大學,大學特色類萌芽型,文化、食安、長照—澎湖健康福祉營造工程計畫
技專校院,42,高屏澎東,高苑科技大學,大學特色類萌芽型,高雄市大岡山地區東亞多元文化融合總體營造
技專校院,43,高屏澎東,國立屏東科技大學,大學特色類萌芽型,從共森到創生之路--里山林下經濟網絡推動計畫
技專校院,,,,大學特色類萌芽型,原鄉部落山林文化知識學習基地的建置與運用
