Date,open,open_1,close_1,high_1,low_1,volume_1,avg_price_5,avg_price_30,avg_price_365,ration_avg_price_5_30,ratio_avg_price_5_365,ratio_avg_price_30_365,avg_volume_5,avg_volume_30,avg_volume_365,ratio_avg_volume_5_30,ration_avg_volume_5_365,ratio_avg_volume_30_365,std_price_5,std_price_30,std_price_365,ratio_std_price_5_30,ratio_std_price_5_365,ratio_std_price_30_365,return_1,return_5,return_30,return_365,moving_avg_5,moving_avg_30,moving_avg_365,close
2000-05-05,10478.89,10409.7,10577.86,10585.92,10375.81,138300000.0,10526.398,10599.649047619048,10614.685158730157,0.9930892950049602,0.9916825456987252,0.9985834614134794,172098000.0,171474761.9047619,224991388.8888889,1.00363457623918,0.7649092743055598,0.7621392212012347,92.55135908873281,170.52899691049353,352.1845230084899,0.5427309182925103,0.2627922382793117,0.48420355174546575,-0.0024302998124225966,-0.0029700161272535708,-0.014690416996954902,-0.03267530363039619,-0.003717101635565029,-0.0008548046628705283,-2.932127858587305e-05,10412.49
2000-05-04,10732.21,10478.89,10412.49,10523.1,10407.53,169170000.0,10499.702,10580.46761904762,10612.547261904763,0.9923665359646088,0.9893668071274615,0.9969771967025959,168788000.0,172334285.7142857,224813452.3809524,0.9794220534840925,0.750791370411341,0.7665657187731838,104.0331719653269,167.69011305766884,351.7683298488287,0.6203894199149939,0.2957434286652093,0.47670611259897416,-0.015633596965737948,-0.01265696754305195,-0.03724445923830125,-0.04919534226261136,-0.0005315472609701509,-0.0006301536966874522,-5.7801160590960354e-05,10480.13
2000-05-03,10805.58,10732.21,10480.13,10732.21,10400.09,200220000.0,10522.172,10565.485238095238,10611.291230158731,0.9959004970316871,0.9916014716563955,0.9956832782109206,163638000.0,172301904.76190478,224823809.52380952,0.949716720927276,0.7278499565797556,0.7663863766335544,77.04989954030418,161.52894277630998,351.6734234269424,0.4770036763442769,0.21909503080863527,0.45931518282576855,0.006496044654064438,0.0108364567921,-0.029146548881123897,-0.02931650095168413,-0.002463096724140721,-0.0017282637071145916,-0.0001256708715791988,10731.12
2000-05-02,10749.42,10805.58,10731.12,10824.5,10710.02,208610000.0,10561.045999999998,10569.243333333334,10610.713611111112,0.9992244162543328,0.995319107372844,0.9960916598734365,172096000.0,173474285.7142857,224745714.2857143,0.9920548125699981,0.7657365149184475,0.7718691600666149,122.10401029113413,164.5373548212573,351.3551853799972,0.7421051008373144,0.34752300626807703,0.46829351513143913,0.023949130402008526,0.01844686454551933,0.00740879818253507,-0.013382760180496207,0.0022154125460434847,-0.0013284919915286814,-4.387621155817487e-05,10811.78
2000-04-29,10892.76,10749.42,10811.78,10926.26,10724.22,174020000.0,10602.676000000001,10583.026666666667,10610.370119047619,1.0018566837212293,0.9992748491370904,0.9974229501823065,178064000.0,174004761.9047619,224627658.73015872,1.0233283161380367,0.7927073674124216,0.7746364044767559,167.3517362598439,172.34912396522398,351.11510501917394,0.9710042755634288,0.47662927019532536,0.4908621745447614,0.007516456809727209,0.019630070079774707,0.02750816596704349,-0.007942493994498197,0.003745717301725735,0.0004408193396762167,2.1745399449635792e-05,10733.91
2000-04-28,10941.91,10892.76,10733.91,10959.23,10715.3,173520000.0,10633.886,10592.873333333333,10610.365912698413,1.00387172256064,1.0022167084052622,0.9983513688868972,185108000.0,174389047.6190476,224497103.17460316,1.0614657429884469,0.8245451606385843,0.7767986542054225,175.89956148094723,174.8841988047601,351.1136127152504,1.0058059143314637,0.5009761943453899,0.49808435922588234,-0.0072023293111773265,0.014752511377537542,0.019642580646387065,-9.874270724552474e-05,0.003979547017527932,0.0013793100303029552,4.3670162589756525e-05,10888.1
2000-04-27,11127.92,10941.91,10888.1,10941.91,10747.25,192920000.0,10729.008000000002,10620.914285714287,10610.675634920635,1.010177439660831,1.011152198893907,1.000964938628409,189858000.0,177423333.33333334,224377777.7777778,1.070084731433295,0.8461533128652075,0.7907348717440824,153.40324106486582,172.6435221604667,351.3248195808402,0.8885548623265597,0.4366421969500722,0.49140713248339474,0.014364756179248803,0.04567687459963953,0.05717509253109944,0.007220133116868201,0.003025141117776986,0.0010146194569228884,7.45750317100692e-05,10945.5
2000-04-26,10916.65,11127.92,10945.5,11141.88,10902.06,198970000.0,10822.082,10650.513333333334,10611.6801984127,1.0161089575025177,1.019827378667025,1.0036594709032451,189608000.0,178118095.23809522,224220396.82539684,1.0645072290187356,0.8456322559613079,0.7943884577851228,94.53160486959176,172.46272336826533,351.92070418484144,0.5481277520344806,0.2686162074168286,0.4900613158516576,0.005271810508720496,0.04440498352596779,0.06020775054436686,0.023675805599330326,0.009024811746774336,0.002729506681497935,0.00010382420470350355,11124.82
2000-04-25,10822.33,10916.65,11124.82,11136.61,10881.04,240200000.0,10900.822,10678.583333333334,10613.662817460317,1.020811624513239,1.0270556157170627,1.0061166928881722,195926000.0,178825238.0952381,224379087.3015873,1.0956283469095924,0.8731918930424046,0.796978186540529,148.42605101273094,198.74929142416235,353.40141620743213,0.7468004034085652,0.4199928019688833,0.5623896292127609,0.016382988442739,0.03668768963537812,0.05595162951396957,0.04702217370025966,0.008779964917705548,0.002866436071497466,0.00016795050134185108,10906.1
2000-04-21,10668.19,10822.33,10906.1,10910.75,10695.44,295330000.0,10919.686,10701.622857142856,10615.455515873016,1.0203766424745193,1.0286592020165386,1.008117159093267,220188000.0,185408571.42857143,224661269.84126985,1.1875826360316213,0.9800888250812864,0.8252805281460767,140.03686792854586,195.56913263526087,353.73566267717877,0.7160479061371947,0.3958799824385938,0.5528680121058034,-0.01966054282226583,0.008723817909724365,0.046422708296753004,0.04321267530996698,0.007266736525851643,0.0026713581869239143,0.00025788375301010727,10844.05
